"","Tax","Counts","RA","SampleID"
"12","Lactobacillus_casei",2490,0.356223175965665,"Z1_16S"
"14","Lactobacillus_fermentum",1959,0.280257510729614,"Z1_16S"
"22","Lactobacillus_paracasei",1041,0.148927038626609,"Z1_16S"
"13","Lactobacillus_delbrueckii",387,0.0553648068669528,"Z1_16S"
"11","Lactobacillus_buchneri",244,0.0349070100143061,"Z1_16S"
"24","Lactobacillus_plantarum",191,0.0273247496423462,"Z1_16S"
"26","Lactobacillus_rhamnosus",107,0.015307582260372,"Z1_16S"
"21","Lactobacillus_oris",92,0.0131616595135908,"Z1_16S"
"10","Lactobacillus_brevis",87,0.0124463519313305,"Z1_16S"
"35","Pediococcus_pentosaceus",74,0.0105865522174535,"Z1_16S"
"8","Lactobacillus_casei",1657,0.270133681121617,"Z2_16S"
"10","Lactobacillus_fermentum",1280,0.208672970329312,"Z2_16S"
"19","Lactobacillus_paracasei",1159,0.188946853602869,"Z2_16S"
"32",NA,671,0.109390283664819,"Z2_16S"
"18","Lactobacillus_oris",332,0.0541245516791653,"Z2_16S"
"7","Lactobacillus_buchneri",324,0.0528203456146071,"Z2_16S"
"23","Lactobacillus_rhamnosus",131,0.0213563743071405,"Z2_16S"
"29","Pediococcus_claussenii",110,0.0179328333876753,"Z2_16S"
"30","Pediococcus_pentosaceus",103,0.0167916530811868,"Z2_16S"
"6","Lactobacillus_brevis",77,0.0125529833713727,"Z2_16S"
"9","Lactobacillus_casei",1459,0.361049245236328,"Z3_16S"
"11","Lactobacillus_fermentum",1113,0.275426874536006,"Z3_16S"
"19","Lactobacillus_paracasei",580,0.143528829497649,"Z3_16S"
"10","Lactobacillus_delbrueckii",217,0.0536995793120515,"Z3_16S"
"8","Lactobacillus_buchneri",172,0.042563721851027,"Z3_16S"
"21","Lactobacillus_plantarum",95,0.0235090324177184,"Z3_16S"
"23","Lactobacillus_rhamnosus",69,0.0170749814402376,"Z3_16S"
"7","Lactobacillus_brevis",54,0.0133630289532294,"Z3_16S"
"32","Pediococcus_pentosaceus",46,0.0113833209601584,"Z3_16S"
"31","Pediococcus_claussenii",40,0.00989853996535511,"Z3_16S"
"10","Lactobacillus_casei",1631,0.387871581450654,"Z4_16S"
"12","Lactobacillus_fermentum",1170,0.278240190249703,"Z4_16S"
"20","Lactobacillus_paracasei",625,0.148632580261593,"Z4_16S"
"9","Lactobacillus_buchneri",242,0.0575505350772889,"Z4_16S"
"30","Pediococcus_pentosaceus",73,0.0173602853745541,"Z4_16S"
"23","Lactobacillus_rhamnosus",73,0.0173602853745541,"Z4_16S"
"29","Pediococcus_claussenii",69,0.0164090368608799,"Z4_16S"
"11","Lactobacillus_delbrueckii",56,0.0133174791914388,"Z4_16S"
"8","Lactobacillus_brevis",54,0.0128418549346017,"Z4_16S"
"26","Lactobacillus_salivarius",50,0.0118906064209275,"Z4_16S"
