"","Query","Tax","Matching","MapQ","AS.max"
"602","0674565b-62e1-498e-b4cd-1247894266a6","Lactobacillus_amylolyticus",91.4383561643836,46,2100
"2263","1654ff6c-eb38-4a64-99b6-c88b9c0f99ac","Lactobacillus_amylolyticus",87.5922199865862,50,1826
"2660","1a39bdd5-9081-4753-8b20-6b5d241f43f0","Lactobacillus_plantarum",90.4479578392622,0,2130
"2955","1d418edd-aec3-457e-942c-251d9186f625","Lactobacillus_rhamnosus",86.0200668896321,0,1682
"3463","21fb28e5-718a-41aa-8a5c-774db3c264eb","Lactobacillus_amylolyticus",87.1418074944893,38,1676
"4326","2965111e-eb1e-4294-a742-addb8742c632","Lactobacillus_plantarum",90.8163265306122,0,2084
"4700","2cc31c76-fc0c-428f-9b49-4d46670d788a","Lactobacillus_delbrueckii",94.023569023569,0,1926
"4732","2cf2411f-03d2-49dc-adeb-9d7d08ce06ce","Lactobacillus_rhamnosus",89.9785254115963,0,1918
"5322","322b90c1-2091-4d9f-ad34-d22b5eab276b","Lactobacillus_plantarum",93.4201507882111,0,2302
"7250","42e51795-3f04-43fd-9f42-74be87202ba6","Lactobacillus_plantarum",90.7330567081604,0,2058
"10173","5bcc962a-cbc0-4f15-a85e-fb3833eb489d","Lactobacillus_rhamnosus",85.59670781893,0,1614
"11059","63acef58-47ab-4ae8-8e54-64bb3a027071","Lactobacillus_delbrueckii",85.2106620808254,0,1278
"12855","72cce71a-6945-4634-a5e4-04731f268805","Lactobacillus_plantarum",92.9509329647547,0,2232
"12978","74109d78-d046-4bfd-82a3-cef679805ab3","Lactobacillus_paracasei",94.4253269098417,0,2400
"13614","78fbf05a-b539-4195-8cf0-75720963b26d","Lactobacillus_brevis",79.045996592845,60,816
"14844","83a8367d-35d5-49ac-b0e9-2d9b90f44ca3","Lactobacillus_gasseri",83.2017229002154,0,1352
"17168","9820957a-cddf-4119-96c1-45a12aada60b","Lactobacillus_amylolyticus",91.2648497554158,41,2074
"18446","a439e9f5-0a81-4197-8af3-9239cf5dde2d","Lactobacillus_amylolyticus",94.5741758241758,48,2402
"22034","c47c813f-f6ea-454a-960c-6b0228753518","Lactobacillus_plantarum",91.6666666666667,0,2132
"22501","c903199d-15f4-423c-b2af-66333dd58443","Lactobacillus_rhamnosus",89.7093479968578,0,1732
"22590","c975fe91-bc95-444d-aeb7-a307c034678f","Lactobacillus_delbrueckii",92.4709103353867,0,2216
"23704","d33ad9c8-8314-483b-9df2-957975c3e525","Lactobacillus_paracasei",94.2068965517241,0,2376
"23841","d4435ca9-1082-4d38-b398-fa048f4361ee","Lactobacillus_amylolyticus",84.3918918918919,37,1466
"25104","e00c57bd-81aa-41ac-aa24-b2aca2a64dcd","Lactobacillus_casei",92.5259515570934,0,2210
"25329","e234dc80-30aa-4d33-b521-5c785b8df2dd","Lactobacillus_plantarum",95.2149791955617,0,2452
"25550","e46c8173-089e-41d8-87f1-3d29f27f9120","Exiguobacterium_sp",73.2584269662921,0,528
"26396","ec6e2b0e-303c-40ac-b842-01ac80ab5df6","Lactobacillus_paracasei",91.3639479095271,0,2130
"26633","ee5be529-b640-48fe-bb4d-ed00ad87402b","Lactobacillus_delbrueckii",89.3146647015475,0,1802
"27889","f99adf0b-39a9-458c-875b-5e3a8996cfd3","Lactobacillus_paracasei",82.1870701513067,0,1354
"28653","ffe8eefe-8266-44fd-a98c-34c546c1e38d","Lactobacillus_paracasei",89.0657439446367,0,1904
"1","001e9b83-10c9-41c0-85ff-9f3914de2ce2","Lactobacillus_casei",83.8264299802761,0,1486
"5","00332eba-ac1b-4f33-87a5-726e09f1925f","Leuconostoc_lactis",90.0346020761246,60,1992
"10","0056151c-7b9a-41eb-ba08-c6dd6b0205ad","Lactobacillus_delbrueckii",91.2065439672802,1,2126
"12","0078d437-6e03-41e7-baff-5302aa3ae0eb","Lactobacillus_casei",89.2663043478261,0,1936
"21","007a0ada-8923-4815-8838-053c2f78a975","Lactobacillus_buchneri",86.0583941605839,1,1578
"25","007b6a4d-4cf1-4f5a-91c5-ffaf53ce98a4","Lactobacillus_fermentum",89.6164021164021,1,2034
"32","0081d00a-fb17-4865-90f7-c0fd0faefc82","Lactobacillus_paracasei",80.5351170568562,0,1122
"35","0097c98c-11cd-4dce-ba13-ffd503bfc581","Lactobacillus_casei",90.3397734843438,0,2100
"40","00998291-0487-417c-a1bd-d8d26272a865","Lactobacillus_casei",90.0832177531207,0,1968
"45","009d2d76-4ee4-45d2-b374-e94fac0a697a","Lactobacillus_fermentum",86.1067503924647,0,1434
"48","00a3ac93-a0f9-45fe-a622-6f9570dcf908","Lactobacillus_casei",92.4119241192412,0,2254
"54","00ae5a43-9ed2-4ad9-9bf1-6eec9804b1b8","Lactobacillus_delbrueckii",86.2372881355932,0,1668
"57","00ae80a4-2e91-4c33-8173-fc528ab85749","Lactobacillus_casei",92.798353909465,0,2244
"60","00bf2824-a259-47c7-9cd2-a8ae8c879dc3","Lactobacillus_casei",89.5333333333333,0,2000
"63","00cb40a7-e198-441e-9fe8-02130d95268d","Lactobacillus_casei",90.1293396868618,0,2010
"66","00cd759d-11dc-44bf-807b-bef0fc5f9523","Lactobacillus_plantarum",90.8904109589041,0,2084
"70","00f5dc5e-47b0-4380-84c8-feb9df04808d","Lactobacillus_fermentum",90.5437352245863,0,1764
"73","01089d48-ad83-4645-b6dd-22d25e47acff","Lactobacillus_casei",94.7766323024055,0,2424
"80","010a2d73-54f3-4ac6-a512-bd76cb84a3d1","Lactobacillus_fermentum",88.5772913816689,0,1868
"83","010e10dd-e9de-4c86-8224-40103491c8ea","Lactobacillus_casei",91.2304554724677,0,2126
"88","010f6401-b913-492a-8dab-76a0ead4ea8e","Lactobacillus_brevis",88.952245188881,1,1838
"94","0124bbc4-5f32-4981-9822-c17c2ed10b6d","Lactobacillus_delbrueckii",85.6241234221599,1,1576
"95","013919fd-b8ff-4b8a-9f29-ae925ca5949a","Lactobacillus_casei",93.4013605442177,0,2328
"100","014ed43d-a35b-4409-9d67-1718ff817500","Lactobacillus_delbrueckii",89.7735072065889,1,1962
"103","01530d39-c02d-4f83-ab5a-335f4a73ff48","Lactobacillus_casei",92.7260367097213,8,2268
"107","01582401-17e3-4952-9eb4-22145b01dae9","Lactobacillus_casei",93.2698844323589,0,2292
"109","016f97d3-6e76-4d92-982a-06196cb72458","Lactobacillus_casei",95.7505140507197,0,2524
"111","017708af-44de-484d-a5ad-5c875e9fe04e","Lactobacillus_casei",92.1340131099782,0,2052
"116","0179236c-cdeb-4bac-90c6-334d86c26a48","Lactobacillus_fermentum",88.6394557823129,1,1904
"122","017ac178-5a8d-4387-bd4f-adfda2fa6a34","Lactobacillus_paracasei",87.7914951989026,1,1776
"125","017d4d95-552e-49ed-9f62-bf5dc740644b","Lactobacillus_fermentum",87.9091516366065,1,1878
"128","017f17f8-139f-4fef-afa3-86041d526a64","Lactobacillus_casei",88.9039242219215,0,1908
"135","019384ab-26ef-4af4-a915-6a348bde5cf3","Lactobacillus_fermentum",90.3479973736047,1,2134
"143","01b007e4-9546-485d-90e6-c8fef53ced89","Lactobacillus_rhamnosus",86.4262295081967,1,1764
"147","01bdca95-5e3e-4301-9c9f-e2dcc25ddfb4","Lactobacillus_casei",85.4313099041534,0,1692
"152","01c97853-308e-40f4-8de7-d704e1ffe15e","Lactobacillus_buchneri",93.9041095890411,1,2366
"156","01ca1fe9-6ee1-462d-82c5-f3ff5801ac43","Lactobacillus_casei",88.2273342354533,1,1840
"158","01d02f29-8a82-4d3a-af55-45b1459322cb","Lactobacillus_casei",93.1412894375857,0,2290
"162","01d171ae-deea-4fb0-8e5f-47ddeb58be09","Lactobacillus_fermentum",89.2265193370166,1,1908
"165","01d84967-891c-4962-bdc9-4bf9dc2c0c48","Lactobacillus_paracasei",88.7425938117182,0,1936
"166","01e0be62-9e33-45cc-82d5-17a406ff6e4b","Leuconostoc_citreum",93.719806763285,0,2324
"172","01e360ae-b2ed-464f-b5a4-36cf6e2758d7","Lactobacillus_fermentum",95.8046767537827,1,2512
"178","01f1fcc0-1cc2-4721-859d-a7c278c39422","Lactobacillus_paracasei",82.641252552757,1,1338
"181","01f7a6a4-8cf1-4e2f-b1a0-d426712149bd","Lactobacillus_fermentum",90.7368421052632,0,2004
"183","01fc613d-275d-4bcd-b08b-f3e60e2867ba","Lactobacillus_casei",85.5,0,1546
"189","0205016c-56a3-40dd-bdb6-25319c60f731","Lactobacillus_paracasei",87.0945479641132,1,1728
"191","0213575c-b8dd-4429-bd79-83cfe6a4f6ae","Lactobacillus_casei",92.6151761517615,0,2248
"199","02166018-7796-49d8-b0d3-2e1931a41985","Lactobacillus_fermentum",84.1698841698842,1,1550
"204","021ca9ac-4229-4c0c-930f-aec6fbd5284f","Lactobacillus_fermentum",89.7643097643098,4,2000
"208","021f1bea-03e0-49ac-ae4d-5a7b570abf66","Lactobacillus_casei",85.2624011502516,0,1506
"210","02312e3a-c2a9-4224-bd16-884958c76e17","Lactobacillus_casei",86.4123159303882,0,1680
"215","0246eaff-5b72-4944-8d9c-3b61d2a8f4df","Lactobacillus_casei",92.837653478854,0,2258
"220","02476938-25c5-4a5d-b81f-27f690bfdd95","Lactobacillus_fermentum",91.2268188302425,0,2040
"222","025054cd-d165-4f48-a7e0-9593e98b8c4f","Lactobacillus_casei",83.7159253945481,1,1358
"227","02509588-d5f8-4252-8714-dda37cbb88c5","Lactobacillus_fermentum",90.2899527983817,1,2066
"231","025740c3-223e-4069-b4b0-4b0d0d82cfd5","Lactobacillus_casei",95.5479452054795,0,2498
"233","0284c075-8469-40a2-b8cb-3f941e3eec0c","Lactobacillus_casei",81.2335958005249,0,1292
"238","02a459f7-4e81-47d1-a871-f9a4b869e6fd","Lactobacillus_casei",88.2231404958678,0,1850
"243","02ab7b36-0453-49b2-8353-3ec5273fd144","Pediococcus_claussenii",88.0640465793304,0,1724
"248","02b46693-ecd1-47a1-b551-754e60639de1","Lactobacillus_fermentum",90.3859174001354,1,2080
"253","02ba671f-3ad7-40d3-892c-1ec46bfa1319","Lactobacillus_fermentum",89.3883566691231,0,1796
"259","02c4fa7a-421c-4659-ac0a-5f09a8da2de6","Lactobacillus_paracasei",79.2405063291139,0,1112
"264","02cbfc91-0248-4a60-af1e-06943dd133ae","Lactobacillus_oris",79.7101449275362,1,1130
"268","02ccf886-7643-4b51-96d0-277ba4d54a9c","Lactobacillus_buchneri",91.740614334471,1,2166
"269","02d0bca6-b5d0-4e48-b163-a06dc55540ce","Lactobacillus_casei",82.1380243572395,0,1298
"274","02dfa5d1-e6ff-46d3-9c6f-20125af10285","Lactobacillus_fermentum",82.2527832351015,0,1364
"277","02e1889e-70d7-45d8-9b1b-7bdfdc6a5240","Lactobacillus_casei",86.1324041811847,0,1642
"282","02e89c99-a35c-4c26-b62c-180f78f19541","Lactobacillus_paracasei",93.3788395904437,1,2346
"284","02ee72b6-9c89-497b-8587-079a32c31102","Lactobacillus_delbrueckii",94.4137931034483,0,2392
"286","02ff351f-e098-4dc3-9e16-dd3915319033","Lactobacillus_casei",83.2745236414961,0,1358
"290","0303b450-5f36-46ef-b2fe-67d73dea4f39","Lactobacillus_brevis",93.878954607978,3,2348
"294","030b71d7-ed4b-49e1-a71d-6ba7bb73178a","Lactobacillus_buchneri",89.3895348837209,0,1846
"297","0313a9dd-d362-47bf-b112-13fc6b51b7d5","Lactobacillus_casei",91.4910226385636,2,1872
"300","032d7164-f063-4973-b21a-769ce43ef8f7","Lactobacillus_casei",90.1379310344828,0,2014
"305","0334f01f-dc3e-4084-9039-85ea5cfa9f0f","Lactobacillus_buchneri",89.6350364963504,1,1860
"309","0351386f-2d32-4e94-826e-c36eae1f4a76","Lactobacillus_paracasei",89.4257703081232,1,1914
"314","035b1b91-468a-4f3b-bf86-7a1575f0d648","Enterococcus_faecium",86.7910983488873,1,1630
"318","0367ffbd-31d2-4d0e-b81b-096c90c4b0f8","Lactobacillus_fermentum",87.0382372002592,2,1838
"323","036e2150-15fb-4226-95a4-af77584b9a3d","Lactobacillus_fermentum",93.2374100719424,0,2198
"328","0386273d-392d-426d-90fa-772a8ae32935","Lactobacillus_fermentum",89.6551724137931,1,1928
"334","0387c9e6-b6e0-41e9-9fb0-488bab0ec86d","Lactobacillus_fermentum",84.8322147651007,1,1570
"337","039a6a12-f345-4a8d-9359-800e2099d1b3","Lactobacillus_fermentum",88.0081300813008,0,1876
"345","03c01691-32fe-4120-9089-ec4f776a57fc","Lactobacillus_paracasei",84.6254071661238,0,1586
"346","03d29a01-0303-4db3-83ad-8dc2c53c80e9","Lactobacillus_casei",89.348710990502,0,1972
"348","03e8a1cc-3abc-4f63-af49-483bf4cefa6c","Lactobacillus_casei",94.0257976917855,0,2396
"352","0401a9d8-2a2e-4c59-b495-ff0cfea7d55b","Lactobacillus_paracasei",88.8588791357191,0,1902
"356","041668bf-fa07-432a-9d0b-d372a07f07cb","Lactobacillus_fermentum",91.1475409836066,0,2196
"358","041ba7a9-5b97-4a27-b86a-c1d087560ac9","Lactobacillus_casei",92.3497267759563,0,2224
"362","04244376-9f5e-44e0-b5c3-e7e7dd0ee141","Lactobacillus_casei",89.8305084745763,0,2000
"366","043365c9-21bb-4bdd-8b45-eb5ae475b458","Lactobacillus_casei",87.767795438839,0,1786
"370","0457d6a3-5cd4-40a1-ad3f-97fda3dbe49e","Lactobacillus_fermentum",92.2086720867209,1,2230
"373","04614528-7406-4558-aee0-c21dbfaf5f30","Lactobacillus_rhamnosus",84.6965699208443,1,1598
"378","0462be09-136a-462f-82dd-db1b72e8b982","Lactobacillus_casei",85.7339765678842,0,1638
"381","046506fa-de25-4ee0-a5b1-4884503e4015","Lactobacillus_plantarum",87.6954452753229,0,1792
"387","047cc0e2-649f-4ed6-addd-2cce107211de","Pediococcus_pentosaceus",86.9534050179211,0,1666
"390","047d5a1b-16cf-45be-91a8-6170b6c11619","Lactobacillus_casei",82.436069986541,1,1350
"395","0484b679-b10a-4651-b4d6-bbd6cae9a3b0","Lactobacillus_casei",91.9973544973545,0,2248
"399","04a4b424-52d9-46cd-9e28-c371bf1243e8","Lactobacillus_casei",84.1352405721717,0,1538
"407","04b68a0c-c034-4a50-8fe7-4fe5753da395","Lactobacillus_paracasei",90.6567366283006,1,2050
"410","04b8eb75-650d-4310-8a30-51d3606068e2","Lactobacillus_fermentum",91.6385704652731,0,2182
"418","04bd96cb-500e-4512-a6c8-cf4500b47170","Lactobacillus_rhamnosus",84.8728246318608,1,1570
"423","04c38bdf-2ee2-42e0-ad5e-234bac5ed1cf","Lactobacillus_ginsenosidimutans",79.7537619699042,0,1108
"425","04d00628-e28c-4265-a005-000569d2a4ff","Lactobacillus_ginsenosidimutans",84.5990063875089,1,1458
"430","04d2549f-20d8-42c0-a548-8dbaf32a21a7","Lactobacillus_casei",85.3573907009021,0,1540
"434","04e90675-719e-41f0-909f-efa18ba536d3","Lactobacillus_delbrueckii",89.2882818116463,0,1856
"441","04eaec3c-90be-4468-a4c5-351f26438fbb","Lactobacillus_hokkaidonensis",87.3669268985096,1,1700
"446","04eb12fd-a65b-4d0d-ab83-e4f2a3ee627e","Lactobacillus_ginsenosidimutans",83.3815028901734,0,1346
"449","04f32649-5e1a-4461-a6d5-c9b246624377","Lactobacillus_fermentum",84.8844884488449,1,1594
"452","04f51ac3-8a83-4b5f-8571-91d3aac0f749","Lactobacillus_fermentum",86.5591397849462,0,1748
"458","04f9732c-b086-4692-96a0-112c77daa90a","Lactobacillus_fermentum",92.6530612244898,0,2250
"463","04fa98fb-c66e-4fff-98f9-9f8023a82a33","Lactobacillus_buchneri",83.5521769177609,1,1386
"467","04fefc48-1b39-4f25-be14-c71a3d6b262d","Lactobacillus_paracasei",92.0811518324607,1,2286
"469","05079ec9-4616-47cd-8996-99279f253123","Lactobacillus_buchneri",83.8880484114977,0,1312
"474","0519bdd6-83d9-497e-aa16-2426bc462534","Lactobacillus_paracasei",91.4965986394558,0,2150
"477","051a077b-3ac7-4e1f-955e-9643b04aaae4","Lactobacillus_fermentum",96.9821673525377,1,2634
"480","052f42db-f328-46d7-8f75-2ba5c092b8ac","Lactobacillus_casei",86.4516129032258,1,1574
"486","053c4083-42aa-4774-8e66-d068aa887879","Pediococcus_pentosaceus",84.8611111111111,0,1526
"488","054eb62a-fbbe-4d65-ab2b-209984e6de09","Lactobacillus_fermentum",90.6562054208274,1,1980
"491","055131a9-2b01-469e-978c-1af853a2c047","Lactobacillus_casei",88.6779661016949,0,1868
"495","056fbfcc-f8a0-4ca1-b1ae-ab07d1c2434a","Lactobacillus_paracasei",89.1525423728814,0,1974
"501","057047f4-8e50-41d9-8bf8-eeb55622275b","Lactobacillus_oris",90.6122448979592,1,2082
"502","057a01a1-3de5-4f06-b80f-31748716fcc0","Lactobacillus_casei",93.8229238160604,0,2332
"508","0597a4be-2ed4-4762-98d0-083383e711b4","Lactobacillus_buchneri",86.8402024584237,0,1634
"509","059af64b-b8e8-4183-b824-a00ff0f50bc0","Lactobacillus_casei",97.1685082872928,0,2642
"514","059e2394-751b-49d6-aebe-bf999ace6013","Lactobacillus_fermentum",87.0627062706271,0,1824
"516","05b0f947-7d78-40e8-b26b-82dd2443c6e0","Lactobacillus_casei",77.9220779220779,0,898
"521","05be187f-dd59-430f-90d0-9173841ca56c","Lactobacillus_casei",96.1937716262976,0,2520
"524","05c4bd1f-d8b0-4bc7-9fdc-9f39c23f4a84","Lactobacillus_casei",89.3379790940767,0,1894
"529","05d291e4-ee94-4319-8b6c-8deb3f4ca89f","Lactobacillus_fermentum",88.0107166778299,1,1870
"532","05ed2850-dac8-45e8-88ac-77151e7e6bb6","Lactobacillus_casei",89.385065885798,0,1804
"536","05f00ef2-5acf-4594-bde3-ad9c057ca865","Lactobacillus_casei",88.7175893482831,0,1832
"541","05f16884-276c-4e9e-b292-00cae8a61d7d","Lactobacillus_buchneri",85.2941176470588,0,1436
"546","05f443df-704b-4f5b-b9b1-3c38cd37d2eb","Lactobacillus_fermentum",85.8887381275441,0,1668
"548","05f98bfd-2331-4838-aa57-5e5a3543bf4f","Lactobacillus_casei",91.7826375082836,0,2226
"553","0606c1aa-ec5d-44e5-a62f-4a82598ed7f2","Lactobacillus_paracasei",94.8024948024948,0,2390
"557","061403de-cef5-4df7-afc2-8a6a849c3dfc","Lactobacillus_fermentum",91.0991233985165,0,2152
"561","0628000f-78af-4d7a-9fbd-110f47214fca","Lactobacillus_fermentum",89.207650273224,1,1944
"563","062db0d8-61fc-46af-a0d4-a833a75b11a7","Lactobacillus_ginsenosidimutans",86.2491000719942,0,1584
"567","06484bff-2c5a-4651-94c7-2bfb2bcac2cb","Lactobacillus_casei",85.2920962199313,0,1582
"572","0649a4db-9d40-4c86-8f4d-f9de2223f7e3","Lactobacillus_fermentum",95.5601092896175,1,2510
"576","0656a8a7-77ec-44e3-a45e-6d32e0c126ee","Lactobacillus_fermentum",89.2881824464409,0,1898
"581","065cc296-13bd-48b2-9be3-625c5feec26d","Lactobacillus_paracasei",88.388969521045,0,1754
"588","065d2e3c-8a1c-4668-8738-2bbb85d90df9","Lactobacillus_paracasei",85.3413654618474,1,1600
"590","065f6d1d-341e-49d5-995f-bd1abc8e4c3b","Lactobacillus_casei",96.0608154803041,0,2524
"595","066bb646-b2ee-411e-b74e-650924e44980","Pediococcus_pentosaceus",86.8537666174298,1,1574
"600","066c85b4-d3b1-4824-a6df-7584745c1497","Lactobacillus_paracasei",89.542036910458,1,1934
"606","068abe9e-6913-4b60-a0f6-ea19bcd6a6f3","Lactobacillus_fermentum",86.899275839368,6,1810
"609","0690d73c-9249-4ae7-a7d7-1032b6ee1505","Lactobacillus_casei",95.4234972677596,0,2502
"614","06a13172-f57b-4613-a244-77ef832e9555","Lactobacillus_fermentum",87.08303761533,0,1718
"618","06a206d5-e71a-453f-a5e5-057eef87842a","Lactobacillus_fermentum",88.4537474679271,1,1880
"622","06a71e8e-ca60-4b7b-884e-0ce607731a3d","Lactobacillus_fermentum",89.9866488651535,0,2038
