"Tax","Counts","RA","SampleID"
"Carnobacterium_inhibens",6,0.000858369098712446,"Z1_16S"
"Carnobacterium_sp",2,0.000286123032904149,"Z1_16S"
"Deinococcus_deserti",2,0.000286123032904149,"Z1_16S"
"Enterobacter_sp",1,0.000143061516452074,"Z1_16S"
"Enterococcus_avium",1,0.000143061516452074,"Z1_16S"
"Enterococcus_faecalis",2,0.000286123032904149,"Z1_16S"
"Enterococcus_faecium",26,0.00371959942775393,"Z1_16S"
"Exiguobacterium_sp",1,0.000143061516452074,"Z1_16S"
"Lactobacillus_amylolyticus",11,0.00157367668097282,"Z1_16S"
"Lactobacillus_brevis",87,0.0124463519313305,"Z1_16S"
"Lactobacillus_buchneri",244,0.0349070100143061,"Z1_16S"
"Lactobacillus_casei",2490,0.356223175965665,"Z1_16S"
"Lactobacillus_delbrueckii",387,0.0553648068669528,"Z1_16S"
"Lactobacillus_fermentum",1959,0.280257510729614,"Z1_16S"
"Lactobacillus_gasseri",11,0.00157367668097282,"Z1_16S"
"Lactobacillus_ginsenosidimutans",53,0.00758226037195994,"Z1_16S"
"Lactobacillus_hokkaidonensis",3,0.000429184549356223,"Z1_16S"
"Lactobacillus_johnsonii",2,0.000286123032904149,"Z1_16S"
"Lactobacillus_kunkeei",2,0.000286123032904149,"Z1_16S"
"Lactobacillus_mucosae",5,0.000715307582260372,"Z1_16S"
"Lactobacillus_oris",92,0.0131616595135908,"Z1_16S"
"Lactobacillus_paracasei",1041,0.148927038626609,"Z1_16S"
"Lactobacillus_pentosus",2,0.000286123032904149,"Z1_16S"
"Lactobacillus_plantarum",191,0.0273247496423462,"Z1_16S"
"Lactobacillus_reuteri",12,0.00171673819742489,"Z1_16S"
"Lactobacillus_rhamnosus",107,0.015307582260372,"Z1_16S"
"Lactobacillus_ruminis",6,0.000858369098712446,"Z1_16S"
"Lactobacillus_sakei",5,0.000715307582260372,"Z1_16S"
"Lactobacillus_salivarius",35,0.0050071530758226,"Z1_16S"
"Leuconostoc_citreum",18,0.00257510729613734,"Z1_16S"
"Leuconostoc_lactis",37,0.00529327610872675,"Z1_16S"
"Leuconostoc_pseudomesenteroides",1,0.000143061516452074,"Z1_16S"
"Paracoccus_aminophilus",1,0.000143061516452074,"Z1_16S"
"Pediococcus_claussenii",72,0.0103004291845494,"Z1_16S"
"Pediococcus_pentosaceus",74,0.0105865522174535,"Z1_16S"
"Sanguibacter_keddieii",1,0.000143061516452074,"Z1_16S"
"Tax","Counts","RA","SampleID"
"Carnobacterium_inhibens",6,0.00097815454841865,"Z2_16S"
"Carnobacterium_sp",3,0.000489077274209325,"Z2_16S"
"Enterococcus_faecium",31,0.00505379850016303,"Z2_16S"
"Geobacillus_sp",1,0.000163025758069775,"Z2_16S"
